fips,district,count_property,count_firefactor1,count_firefactor2,count_firefactor3,count_firefactor4,count_firefactor5,count_firefactor6,count_firefactor7,count_firefactor8,count_firefactor9,count_firefactor10
0101,Alabama Congressional District 1,420639,78569,48328,137726,81394,47286,18409,6237,2084,424,182
0102,Alabama Congressional District 2,453085,33277,35241,182071,145340,49919,6773,447,17,0,0
0103,Alabama Congressional District 3,487554,26268,44959,207338,131499,56573,16453,4150,314,0,0
0104,Alabama Congressional District 4,517927,50091,77460,203089,141368,40255,5159,503,2,0,0
0105,Alabama Congressional District 5,354125,71195,103715,146765,26057,5116,1044,233,0,0,0
0106,Alabama Congressional District 6,342018,27447,48300,146246,86992,28690,4067,273,3,0,0
0107,Alabama Congressional District 7,466297,92420,71583,136126,107738,49089,8527,808,6,0,0
0401,Arizona Congressional District 1,334875,74545,8172,19919,17805,30385,46863,59897,54153,20983,2153
0402,Arizona Congressional District 2,528098,40283,81963,75541,76169,70824,60817,58910,33755,14934,14902
0403,Arizona Congressional District 3,217706,141284,5753,12832,6812,5710,5931,9169,19025,5884,5306
0404,Arizona Congressional District 4,244885,178327,7772,8088,3943,5152,7180,12143,13125,6615,2540
0405,Arizona Congressional District 5,321912,109276,13362,41925,33710,48223,46417,27485,1514,0,0
0406,Arizona Congressional District 6,440228,33148,14197,46006,44049,51612,51423,75283,88055,10755,25700
0407,Arizona Congressional District 7,338852,72801,11048,38928,32855,38830,32180,23494,29326,13423,45967
0408,Arizona Congressional District 8,304770,123206,6684,15261,14264,23238,24833,41170,45777,6809,3528
0409,Arizona Congressional District 9,580684,71009,45505,91447,95385,92059,59742,46325,32911,25389,20912
0501,Arkansas Congressional District 1,590068,213312,108568,137838,80552,37538,10535,1611,99,14,1
0502,Arkansas Congressional District 2,426119,72320,76181,136244,83028,42161,13704,2437,42,2,0
0503,Arkansas Congressional District 3,393726,32898,23326,98999,104184,74092,39557,16505,3939,217,9
0504,Arkansas Congressional District 4,599315,61814,58928,185882,157530,83996,29672,13611,7069,752,61
0601,California Congressional District 1,439579,16734,9529,46485,78630,64974,56914,59821,55266,19840,31386
0602,California Congressional District 2,362918,30067,30381,80979,82460,61146,36999,19426,5852,3883,11706
0603,California Congressional District 3,426573,40466,7734,32247,63284,83058,63817,57433,33455,12315,32764
0604,California Congressional District 4,296834,30670,7738,35119,45205,50178,51177,26529,18569,10500,21149
0605,California Congressional District 5,355627,61431,4410,21002,60568,29999,26053,35065,59464,27488,30147
0606,California Congressional District 6,212308,106171,8116,64063,27490,6375,44,39,10,0,0
0607,California Congressional District 7,229513,87587,30651,81616,23459,4161,1224,751,64,0,0
0608,California Congressional District 8,226040,45494,5087,20654,23159,20364,19947,23369,24944,9233,3770
0609,California Congressional District 9,229509,104665,24098,43374,21362,24531,7331,1217,1529,1036,366
0610,California Congressional District 10,251951,33556,5593,18462,12840,11598,14531,20085,22962,16886,67396
0611,California Congressional District 11,128101,116583,980,8500,2023,15,0,0,0,0,0
0612,California Congressional District 12,171306,99572,15920,20971,30387,4450,6,0,0,0,0
0613,California Congressional District 13,240583,48383,10207,41463,37926,36310,37299,14615,11151,789,2440
