fips,district,count_property,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
0101,Alabama Congressional District 1,420639,312884,411,8311,11260,8913,17023,12267,15646,23253,10669
0102,Alabama Congressional District 2,453085,398064,257,4779,7170,5128,9679,5738,7362,11350,3551
0103,Alabama Congressional District 3,487554,407064,609,5419,8497,6277,11244,8754,13064,19243,7374
0104,Alabama Congressional District 4,517927,435402,631,5078,8345,6275,10025,7428,11581,19005,10794
0105,Alabama Congressional District 5,354125,286938,476,6287,8597,5466,11282,7577,10157,11685,3338
0106,Alabama Congressional District 6,342018,286691,149,2897,5798,5037,7690,6437,9278,13099,4893
0107,Alabama Congressional District 7,466297,379529,549,7106,13200,8262,15423,9287,10454,16085,6397
0200,Alaska Congressional District (at Large),349530,271352,1120,5260,7117,7597,11646,9651,10036,11803,6432
0401,Arizona Congressional District 1,334875,279123,2737,16793,17298,5192,7282,2447,1866,1874,260
0402,Arizona Congressional District 2,528098,403351,5600,14089,19297,19066,21582,12101,13931,14352,4720
0403,Arizona Congressional District 3,217706,193939,1583,11316,8561,1153,717,271,87,65,9
0404,Arizona Congressional District 4,244885,212162,1795,10721,13484,2945,2588,880,264,43,0
0405,Arizona Congressional District 5,321912,215838,20484,42457,25238,9730,6197,1277,427,206,18
0406,Arizona Congressional District 6,440228,357346,8622,14843,19298,12628,13739,5483,4184,3144,909
0407,Arizona Congressional District 7,338852,301353,1308,7154,9232,4805,5831,2760,2596,2758,1026
0408,Arizona Congressional District 8,304770,259260,6846,15121,10875,4246,4619,1620,1402,724,56
0409,Arizona Congressional District 9,580684,485250,7423,18779,23999,16290,16429,5165,3227,2353,1748
0501,Arkansas Congressional District 1,590068,461848,1887,16213,20481,12710,20877,12659,15909,19105,8356
0502,Arkansas Congressional District 2,426119,362150,547,6562,8091,5975,10724,7895,9956,10790,3429
0503,Arkansas Congressional District 3,393726,356576,86,3305,4619,3142,5902,3393,4864,7483,4352
0504,Arkansas Congressional District 4,599315,493039,601,8443,10305,8218,12707,9875,17063,24794,7935
0601,California Congressional District 1,439579,270829,2687,12797,24674,54318,27419,12513,12811,13059,7162
0602,California Congressional District 2,362918,264831,1406,7371,9673,9217,15543,9326,11412,15320,18061
0603,California Congressional District 3,426573,362325,1520,6554,10982,6728,11512,6126,7168,8546,4901
0604,California Congressional District 4,296834,188116,5808,14841,15336,15464,19645,13007,10318,11013,3273
0605,California Congressional District 5,355627,283566,4775,10086,9327,14289,13842,6200,4129,5928,3408
0606,California Congressional District 6,212308,143368,401,4595,10454,16879,29632,3410,1495,1616,456
0607,California Congressional District 7,229513,91928,2088,11175,26582,54034,40004,2315,628,521,229
0608,California Congressional District 8,226040,189794,614,4271,8041,4515,7767,4477,3380,1957,1219
0609,California Congressional District 9,229509,83913,10150,23890,43145,47300,9630,3669,5903,1827,79
0610,California Congressional District 10,251951,184184,3789,8483,15467,14208,15339,5948,3246,1046,195
0611,California Congressional District 11,128101,117583,35,1107,3436,1343,2655,1419,364,89,70
0612,California Congressional District 12,171306,145936,656,5193,8369,3972,3281,1777,1110,731,259
0613,California Congressional District 13,240583,118015,9266,16688,21676,38399,25156,7339,2789,1078,176
0614,California Congressional District 14,191817,143774,2076,9823,16951,12319,2757,1381,1380,1056,272
0615,California Congressional District 15,194633,144050,414,3388,6730,4170,10108,10626,2631,2869,9639
0616,California Congressional District 16,214156,153345,1894,9346,16507,7151,11432,5613,4156,2739,1928
0617,California Congressional District 17,177538,117698,3395,10004,15054,14060,8581,4157,2170,1526,822
0618,California Congressional District 18,175352,133420,1683,6965,12027,6563,7643,3396,1934,1235,429
0619,California Congressional District 19,271793,203394,1206,7932,14490,8698,12179,6706,6655,6096,4414
0620,California Congressional District 20,339224,270189,9496,16748,11268,11355,11135,3949,2030,2010,1027
0621,California Congressional District 21,203290,118627,7879,19916,14427,20819,16265,3917,1207,215,17
0622,California Congressional District 22,230459,180069,9327,17453,9351,6106,4998,1878,836,390,48
0623,California Congressional District 23,534277,466417,4137,9555,16441,10365,10743,5830,4371,4226,2180
0624,California Congressional District 24,255617,198646,385,4801,13234,9368,8666,4716,5327,5400,5070
0625,California Congressional District 25,333025,293629,2323,9687,10292,4908,6076,2546,1699,1394,453
0626,California Congressional District 26,230734,184137,819,5614,10225,7284,9078,5694,3757,2730,1382
