fips,district,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
0101,Alabama Congressional District 1,420639,0,0,0,0,0,216,30225,84092,185199,120907
0102,Alabama Congressional District 2,453085,0,0,0,0,6,28205,209009,215502,363,0
0103,Alabama Congressional District 3,487554,0,0,66,4635,98024,302456,79817,2478,0,0
0104,Alabama Congressional District 4,517927,0,0,111,44989,264342,193533,14461,488,0,0
0105,Alabama Congressional District 5,354125,0,0,2661,20181,186898,143690,441,4,0,0
0106,Alabama Congressional District 6,342018,0,0,0,3387,88861,207867,41812,81,0,0
0107,Alabama Congressional District 7,466297,0,0,0,8,6285,213710,227625,18665,4,0
0401,Arizona Congressional District 1,334875,0,0,0,3,26,543,5041,189134,140087,0
0402,Arizona Congressional District 2,528098,15565,86982,77581,105766,73281,39685,15576,23590,84188,2
0403,Arizona Congressional District 3,217706,0,0,0,0,0,0,0,1850,215491,0
0404,Arizona Congressional District 4,244885,0,0,0,0,0,0,0,6836,238039,0
0405,Arizona Congressional District 5,321912,0,0,0,0,0,0,0,15466,306366,0
0406,Arizona Congressional District 6,440228,642,197,547,2004,32438,71815,111971,173445,45861,0
0407,Arizona Congressional District 7,338852,0,9,1328,3634,6202,42610,30168,157715,94492,2074
0408,Arizona Congressional District 8,304770,0,0,0,0,0,0,5,68637,236048,0
0409,Arizona Congressional District 9,580684,0,187,529,3597,6436,52227,58399,66223,369104,18086
0501,Arkansas Congressional District 1,590068,0,1,2326,125177,221107,203298,38106,34,1,0
0502,Arkansas Congressional District 2,426119,0,0,272,15934,62099,227310,119360,1139,0,0
0503,Arkansas Congressional District 3,393726,0,9,7587,128052,177257,32322,48344,154,0,0
0504,Arkansas Congressional District 4,599315,0,20,3965,7207,73646,412298,101688,259,0,0
0601,California Congressional District 1,439579,6212,16270,30574,45314,35871,33399,90562,174852,6,0
0602,California Congressional District 2,362918,44267,76939,110610,77704,20360,18452,5605,1539,0,0
0603,California Congressional District 3,426573,76875,24074,26907,26285,45060,42730,148098,32140,443,61
0604,California Congressional District 4,296834,12,1044,9679,89124,56340,91629,48236,171,0,0
0605,California Congressional District 5,355627,3351,9646,14621,16849,31669,86760,133485,55226,0,0
0606,California Congressional District 6,212308,0,0,0,0,0,612,204348,7348,0,0
0607,California Congressional District 7,229513,0,0,0,2,58,5609,217725,6118,0,0
0608,California Congressional District 8,226040,1,2468,34438,96533,48687,43803,27,0,0,0
0609,California Congressional District 9,229509,0,0,0,0,217,52313,174763,2213,0,0
0610,California Congressional District 10,251951,146,7529,44647,138068,13847,46785,881,0,0,0
0611,California Congressional District 11,128101,35165,85496,6874,0,0,0,0,0,0,0
0612,California Congressional District 12,171306,2716,16579,111879,39566,0,0,0,0,0,0
0613,California Congressional District 13,240583,0,48,231,500,1388,33730,142232,62106,0,0
0614,California Congressional District 14,191817,21,2348,24002,137011,28014,323,15,0,0,0
0615,California Congressional District 15,194633,53107,95305,40646,5181,0,0,0,0,0,0
0616,California Congressional District 16,214156,17625,16508,31241,112600,35287,1,0,0,0,0
0617,California Congressional District 17,177538,0,17,2018,80143,95348,3,0,0,0,0
0618,California Congressional District 18,175352,251,2876,68289,40723,46837,7802,7613,165,0,0
0619,California Congressional District 19,271793,31366,53381,61081,46953,55959,16873,3463,27,0,0
0620,California Congressional District 20,339224,1824,5330,6625,13388,11133,14412,39481,239846,658,0
0621,California Congressional District 21,203290,0,0,0,0,0,7,4751,198526,0,0
0622,California Congressional District 22,230459,0,0,0,22,183,425,16674,212852,1,0
0623,California Congressional District 23,534277,11192,23051,14361,3268,12273,75097,165996,184133,7689,14
0624,California Congressional District 24,255617,3241,18013,36725,69438,52992,56065,16015,1163,0,0
0625,California Congressional District 25,333025,0,55,54,304,2033,21721,40125,55264,86275,124654
0626,California Congressional District 26,230734,287,4807,51210,86507,75440,8950,3082,6,0,0
0627,California Congressional District 27,250434,0,6,73,933,17176,76939,137832,16182,0,0
0628,California Congressional District 28,196927,108,3041,504,3831,32988,108584,46529,31,0,0
0629,California Congressional District 29,115336,0,0,9,32,5290,92989,17005,1,0,0
0630,California Congressional District 30,147702,0,13,26,6101,43922,95018,2364,0,0,0
0631,California Congressional District 31,165969,1,3,11,20,127,38993,126728,37,0,0
0632,California Congressional District 32,186849,258,1466,7643,39259,79555,53732,3934,0,0,0
0633,California Congressional District 33,192450,0,0,0,0,0,890,41943,149494,97,0
0634,California Congressional District 34,97975,0,0,0,0,17896,79809,270,0,0,0
