fips,namelsad,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
01001,Autauga County,30734,0,0,0,0,4,8556,21554,620,0,0
01003,Baldwin County,140326,0,0,0,0,0,0,36,13966,37554,88770
01005,Barbour County,23338,0,0,0,0,0,1010,17136,5192,0,0
01007,Bibb County,14885,0,0,0,0,62,10892,3877,54,0,0
01009,Blount County,43109,0,0,0,2988,32249,7860,3,0,0,0
01011,Bullock County,9482,0,0,0,0,0,3857,5619,6,0,0
01013,Butler County,19348,0,0,0,0,0,70,13797,5481,0,0
01015,Calhoun County,73051,0,0,1,270,8944,59482,4339,7,0,0
01017,Chambers County,24203,0,0,0,0,7422,15872,909,0,0,0
01019,Cherokee County,33561,0,0,47,1471,14396,17550,48,0,0,0
01021,Chilton County,29553,0,0,0,0,129,23657,5764,3,0,0
01023,Choctaw County,20342,0,0,0,0,0,2911,16918,513,0,0
01025,Clarke County,28293,0,0,0,0,0,5859,20595,1838,1,0
01027,Clay County,14534,0,0,2,143,9412,4970,3,0,0,0
01029,Cleburne County,14638,0,0,16,645,11725,2246,0,0,0,0
01031,Coffee County,34238,0,0,0,0,0,0,4055,30179,4,0
01033,Colbert County,41793,0,0,0,28,11412,29116,1237,0,0,0
01035,Conecuh County,16000,0,0,0,0,0,2,6411,9587,0,0
01037,Coosa County,14278,0,0,0,1,543,13126,608,0,0,0
01039,Covington County,31094,0,0,0,0,0,0,2118,28651,325,0
01041,Crenshaw County,15012,0,0,0,0,0,31,10846,4135,0,0
01043,Cullman County,56189,0,0,0,14235,38292,3661,1,0,0,0
01045,Dale County,29458,0,0,0,0,0,3,13160,16294,1,0
01047,Dallas County,31323,0,0,0,0,0,5133,25009,1181,0,0
01049,DeKalb County,48987,0,0,102,14919,26765,6310,891,0,0,0
01051,Elmore County,49067,0,0,0,0,2,13655,33026,2384,0,0
01053,Escambia County,29782,0,0,0,0,0,0,580,29092,110,0
01055,Etowah County,74258,0,0,6,1230,23416,47873,1728,5,0,0
01057,Fayette County,19041,0,0,0,1,7508,11089,443,0,0,0
01059,Franklin County,22545,0,0,0,248,15272,6991,34,0,0,0
01061,Geneva County,22768,0,0,0,0,0,0,83,22655,30,0
01063,Greene County,10635,0,0,0,0,0,6784,3851,0,0,0
01065,Hale County,15457,0,0,0,0,108,9868,5450,31,0,0
01067,Henry County,19237,0,0,0,0,0,4,10308,8925,0,0
01069,Houston County,58618,0,0,0,0,0,0,6266,52350,2,0
01071,Jackson County,43473,0,0,1456,9748,18407,13570,181,3,0,0
01073,Jefferson County,318828,0,0,0,385,59380,216935,42098,30,0,0
01075,Lamar County,16319,0,0,0,0,2905,12802,612,0,0,0
01077,Lauderdale County,53117,0,0,0,13,23920,29046,138,0,0,0
01079,Lawrence County,25349,0,0,0,721,19121,5505,2,0,0,0
01081,Lee County,64225,0,0,0,0,6993,48830,8394,8,0,0
01083,Limestone County,53122,0,0,0,115,39966,13034,7,0,0,0
01085,Lowndes County,12182,0,0,0,0,0,528,11203,451,0,0
01087,Macon County,19625,0,0,0,0,0,12239,7327,59,0,0
01089,Madison County,166373,0,0,1205,3540,80944,80330,211,1,0,0
01091,Marengo County,21586,0,0,0,0,0,7512,13939,135,0,0
01093,Marion County,25383,0,0,0,49,14933,10256,145,0,0,0
01095,Marshall County,59680,0,0,3,13059,41232,5377,6,0,0,0
01097,Mobile County,207431,0,0,0,0,0,0,31,27728,147535,32137
01099,Monroe County,22607,0,0,0,0,0,211,17844,4552,0,0
01101,Montgomery County,103409,0,0,0,0,0,434,73006,29968,1,0
01103,Morgan County,62154,0,0,0,6778,31515,23838,23,0,0,0
01105,Perry County,10185,0,0,0,0,46,7711,2428,0,0,0
01107,Pickens County,20619,0,0,0,0,354,16979,3281,5,0,0
01109,Pike County,21552,0,0,0,0,0,647,18686,2219,0,0
01111,Randolph County,24949,0,0,0,1306,19372,4208,63,0,0,0
01113,Russell County,34000,0,0,0,0,0,7065,24685,2250,0,0
01115,St. Clair County,54873,0,0,0,790,14900,34240,4935,1,0,0
01117,Shelby County,100018,0,0,0,22,2288,69240,28449,18,0,0
01119,Sumter County,14752,0,0,0,0,0,5621,9016,115,0,0
01121,Talladega County,69482,0,0,0,9,807,46274,22240,148,0,0
01123,Tallapoosa County,37052,0,0,0,0,3504,29800,3743,5,0,0
01125,Tuscaloosa County,103992,0,0,0,0,1356,42475,50180,9978,3,0
01127,Walker County,53106,0,0,0,11,30307,22492,296,0,0,0
01129,Washington County,22080,0,0,0,0,0,5,11734,10341,0,0
01131,Wilcox County,14747,0,0,0,0,0,2817,11784,146,0,0
01133,Winston County,26198,0,0,0,475,24505,1218,0,0,0,0
04001,Apache County,56167,4334,10585,20027,18186,1585,0,0,0,0,0
04003,Cochise County,124036,8,60,1667,4452,31326,80000,5893,2,0,0
04005,Coconino County,77662,5237,42935,14877,5002,5153,2465,266,1,0,0
04007,Gila County,32537,0,428,5755,13161,821,8997,998,2353,0,0
04009,Graham County,17693,0,0,0,85,372,653,15164,1176,0,0
04011,Greenlee County,4518,46,41,67,207,1447,2658,0,0,0,0
04012,La Paz County,15944,0,0,0,0,0,2,7,3337,10306,2252
04013,Maricopa County,1653695,0,0,0,3,26,543,5058,291193,1353977,2000
04015,Mohave County,261083,0,187,639,3665,6557,52250,58516,45680,88081,2
04017,Navajo County,86436,5441,30727,14358,13132,22527,0,0,0,0,0
04019,Pima County,432756,588,103,26,235,839,3618,97715,324492,4535,18
04021,Pinal County,240335,0,0,7,432,2330,5208,6095,29220,196723,2
04023,Santa Cruz County,43176,0,2,111,301,2518,22539,17626,57,0,0
04025,Yavapai County,173695,553,2307,22451,56143,42882,27947,13820,5340,1,0
04027,Yuma County,92277,0,0,0,0,0,0,2,45,76053,15888
05001,Arkansas County,15986,0,0,0,0,5206,10740,39,1,0,0
05003,Ashley County,18738,0,0,0,0,0,11939,6793,6,0,0
05005,Baxter County,37282,0,0,21,20206,17026,29,0,0,0,0
05007,Benton County,158451,0,0,718,67179,89667,887,0,0,0,0
05009,Boone County,28308,0,1,1064,19328,7913,0,0,0,0,0
05011,Bradley County,12516,0,0,0,0,0,11162,1353,1,0,0
05013,Calhoun County,10072,0,0,0,0,0,8831,1239,2,0,0
05015,Carroll County,25277,0,0,1270,21033,2974,0,0,0,0,0
05017,Chicot County,11102,0,0,0,0,0,3792,7296,14,0,0
05019,Clark County,19880,0,0,0,0,781,16810,2288,1,0,0
05021,Clay County,16220,0,0,0,128,11992,4099,1,0,0,0
05023,Cleburne County,30274,0,0,31,4796,16314,8933,200,0,0,0
05025,Cleveland County,6987,0,0,0,0,438,6478,71,0,0,0
05027,Columbia County,15963,0,0,0,0,7,14477,1479,0,0,0
05029,Conway County,18673,0,0,0,34,2110,11700,4772,52,0,0
05031,Craighead County,52183,0,0,0,305,33037,18817,24,0,0,0
05033,Crawford County,35949,0,0,340,2037,6086,15055,12407,23,0,0
05035,Crittenden County,23425,0,0,0,0,14,10286,13117,7,1,0
05037,Cross County,12246,0,0,0,0,5827,6417,2,0,0,0
05039,Dallas County,10944,0,0,0,0,22,9763,1159,0,0,0
05041,Desha County,9337,0,0,0,0,208,8182,943,4,0,0
05043,Drew County,10519,0,0,0,0,875,9519,125,0,0,0
05045,Faulkner County,62001,0,0,0,0,2529,42558,16910,4,0,0
05047,Franklin County,14936,0,1,115,591,1847,7928,4432,8,0,0
05049,Fulton County,5377,0,0,0,2433,2942,2,0,0,0,0
05051,Garland County,75203,0,0,0,188,24691,50124,200,0,0,0
05053,Grant County,14463,0,0,0,0,50,12465,1948,0,0,0
05055,Greene County,27280,0,0,0,940,16866,9469,5,0,0,0
05057,Hempstead County,15686,0,0,0,0,586,13997,1102,1,0,0
05059,Hot Spring County,23001,0,0,0,12,1851,19958,1180,0,0,0
05061,Howard County,10130,0,0,0,43,1975,7546,566,0,0,0
05063,Independence County,28833,0,0,52,9343,18884,554,0,0,0,0
05065,Izard County,28867,0,0,2,23346,5499,20,0,0,0,0
05067,Jackson County,14180,0,0,0,346,9592,4242,0,0,0,0
05069,Jefferson County,53687,0,0,0,0,1545,48974,3164,4,0,0
05071,Johnson County,15977,0,2,722,787,2790,9041,2591,2,0,0
05073,Lafayette County,10825,0,0,0,0,23,9679,1122,1,0,0
05075,Lawrence County,6894,0,0,0,699,5898,297,0,0,0,0
05077,Lee County,10144,0,0,0,0,2600,7520,24,0,0,0
05079,Lincoln County,7238,0,0,0,0,2374,4832,32,0,0,0
05081,Little River County,14456,0,0,0,0,0,7831,6597,28,0,0
05083,Logan County,19237,0,0,62,475,1943,11627,5120,2,0,0
05085,Lonoke County,36924,0,0,0,0,428,26023,10471,2,0,0
05087,Madison County,19316,0,9,3742,14506,1059,0,0,0,0,0
05089,Marion County,12182,0,0,47,9227,2907,0,0,0,0,0
05091,Miller County,26421,0,0,0,0,0,12760,13595,66,0,0
05093,Mississippi County,30354,0,0,0,0,546,28639,1169,0,0,0
05095,Monroe County,9313,0,0,0,0,3747,5565,1,0,0,0
05097,Montgomery County,11205,0,0,13,249,4060,6851,32,0,0,0
05099,Nevada County,12253,0,0,0,0,522,11501,230,0,0,0
05101,Newton County,5840,0,10,2597,2123,929,156,0,0,0,0
05103,Ouachita County,16521,0,0,0,0,54,14260,2207,0,0,0
05105,Perry County,10026,0,0,0,16,1166,6064,2780,0,0,0
05107,Phillips County,17279,0,0,0,0,2633,14064,581,1,0,0
05109,Pike County,10950,0,0,1,51,2955,7395,547,1,0,0
05111,Poinsett County,18992,0,0,0,0,7281,11646,65,0,0,0
05113,Polk County,18715,0,7,94,1633,15171,1807,2,0,0,0
05115,Pope County,30032,0,0,330,754,5921,11926,11039,61,0,0
05117,Prairie County,9887,0,0,0,0,2967,6896,24,0,0,0
05119,Pulaski County,175268,0,0,0,0,1083,79981,93107,1097,0,0
05121,Randolph County,17793,0,0,0,779,15941,1073,0,0,0,0
05123,St. Francis County,17766,0,0,0,0,6077,11542,147,0,0,0
05125,Saline County,73818,0,0,0,25,6939,56596,10251,7,0,0
05127,Scott County,10883,0,0,15,148,2584,7853,260,0,0,0
05129,Searcy County,7856,0,0,370,4746,2605,124,0,0,0,0
05131,Sebastian County,57927,0,0,7,35,612,20900,36226,131,0,0
05133,Sevier County,11710,0,0,0,0,511,8094,3090,15,0,0
05135,Sharp County,45326,0,0,1,25695,19491,139,0,0,0,0
05137,Stone County,14993,0,0,769,7656,6561,3,0,0,0,0
05139,Union County,29649,0,0,0,0,0,13966,15657,26,0,0
05141,Van Buren County,31737,0,0,241,10974,16550,3899,73,0,0,0
05143,Washington County,104654,0,0,1517,23297,77245,2595,0,0,0,0
05145,White County,45619,0,0,0,89,15408,29067,1053,2,0,0
05147,Woodruff County,10518,0,0,0,0,4045,6471,2,0,0,0
05149,Yell County,18754,0,0,9,118,1129,10792,6588,16,0,0
06001,Alameda County,404677,2737,18928,136019,210122,35877,323,15,0,0,0
06003,Alpine County,2310,1332,540,348,7,0,0,0,0,0,0
06005,Amador County,23597,536,44,411,3919,4704,4301,4911,4621,0,0
06007,Butte County,95334,126,294,1677,6599,12365,8539,17113,48283,0,0
06009,Calaveras County,42952,441,2824,6575,2553,4506,7365,15912,2513,0,0
06011,Colusa County,14830,4,17,34,58,158,775,9018,4733,0,0
06013,Contra Costa County,374413,147,9993,78124,176006,40033,68647,1335,0,0,0
06015,Del Norte County,16131,1483,10306,3611,326,0,0,0,0,0,0
06017,El Dorado County,113801,31229,2288,3675,7723,9060,39131,18210,1898,0,0
06019,Fresno County,308187,740,3017,793,1135,1154,3024,18839,278059,0,0
06021,Glenn County,14832,28,120,126,84,81,500,3492,10298,0,0
06023,Humboldt County,72635,34549,18078,7335,4229,3462,1277,325,67,0,0
06025,Imperial County,86927,0,0,0,0,6,19,18,313,22504,63650
06027,Inyo County,15895,538,82,130,253,1504,7868,2881,1361,443,61
06029,Kern County,412498,610,4598,5166,11981,10161,13453,43402,316590,662,0
06031,Kings County,50579,0,0,0,6,34,84,6217,44199,0,0
06033,Lake County,63990,8,217,3442,1671,14732,41859,1701,4,0,0
06035,Lassen County,33209,620,5355,10828,10267,5299,2,0,0,0,0
06037,Los Angeles County,2093379,7565,17599,73571,245318,518925,820997,371870,29288,0,0
06039,Madera County,61718,303,182,338,2291,3826,5662,10316,38565,0,0
06041,Marin County,96289,2602,24391,64932,4264,0,0,0,0,0,0
06043,Mariposa County,14271,60,505,267,2481,2847,3899,3292,465,0,0
06045,Mendocino County,61221,2672,8698,11833,13759,7490,13497,1437,14,0,0
06047,Merced County,89078,0,31,82,193,156,10384,74052,4128,0,0
06049,Modoc County,33092,4209,7186,8126,11407,13,0,0,0,0,0
06051,Mono County,20491,13096,2941,1742,471,487,570,68,0,0,0
06053,Monterey County,121232,27597,30050,40854,1656,3634,7416,7571,165,0,0
06055,Napa County,49843,0,217,1978,7168,39340,1007,61,0,0,0
06057,Nevada County,63442,9685,9150,2324,9378,21168,11011,453,10,0,0
06059,Orange County,683875,2,78,5229,108975,377403,176706,104,0,0,0
06061,Placer County,185012,20417,5611,1195,2538,9162,17544,105057,23071,0,0
06063,Plumas County,25473,68,2695,14682,3894,3782,69,1,0,0,0
06065,Riverside County,874185,36,2607,2570,3427,38880,148599,290484,156758,159707,66002
06067,Sacramento County,466957,0,0,0,2,58,5778,441017,20101,0,0
06069,San Benito County,23438,61,640,5244,16040,621,387,42,0,0,0
06071,San Bernardino County,827249,11253,25788,14524,2912,12815,98923,297839,304662,15036,5931
06073,San Diego County,745583,224,5096,97065,323217,222233,73791,10243,2679,5767,1050
06075,San Francisco County,154543,51856,95247,6874,0,0,0,0,0,0,0
06077,San Joaquin County,236901,0,10,57,14,142,49030,185515,2088,0,0
06079,San Luis Obispo County,129466,27,511,8244,54058,23746,32115,8214,1190,0,0
06081,San Mateo County,215350,53181,99738,55722,5451,0,0,0,0,0,0
06083,Santa Barbara County,131230,3213,17600,29715,19006,10210,39435,11264,0,0,0
06085,Santa Clara County,473212,1318,3669,33777,227890,206321,12,0,0,0,0
06087,Santa Cruz County,95696,3501,24140,66249,1431,0,0,0,0,0,0
06089,Shasta County,95643,254,613,3198,3943,5620,3429,3187,73859,5,0
06091,Sierra County,4873,510,764,2361,670,236,1,0,0,0,0
06093,Siskiyou County,53543,815,1653,5794,12283,11836,17972,1913,23,0,0
06095,Solano County,148590,0,8,1024,47339,23470,69818,6891,0,0,0
06097,Sonoma County,186564,2879,15632,25998,132729,8028,199,0,0,0,0
06099,Stanislaus County,164258,0,4,70,156,884,40332,122140,595,0,0
