fips,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
01001020100,937,0,0,0,0,0,113,818,6,0,0
01001020200,1130,0,0,0,0,0,84,962,84,0,0
01001020300,1511,0,0,0,0,0,136,1360,15,0,0
01001020400,1887,0,0,0,0,0,16,1863,8,0,0
01001020501,1746,0,0,0,0,0,1,1682,63,0,0
01001020502,897,0,0,0,0,0,3,786,108,0,0
01001020503,972,0,0,0,0,0,24,947,1,0,0
01001020600,1544,0,0,0,0,0,12,1418,114,0,0
01001020700,1601,0,0,0,0,0,16,1484,101,0,0
01001020801,1640,0,0,0,0,0,314,1296,30,0,0
01001020803,2564,0,0,0,0,0,1139,1425,0,0,0
01001020804,2526,0,0,0,0,0,640,1855,31,0,0
01001020805,1425,0,0,0,0,0,845,580,0,0,0
01001020901,1928,0,0,0,0,0,1337,591,0,0,0
01001020902,2241,0,0,0,0,1,1255,978,7,0,0
01001021000,2818,0,0,0,0,3,1745,1069,1,0,0
01001021100,3367,0,0,0,0,0,876,2440,51,0,0
01003010100,4856,0,0,0,0,0,0,36,4818,2,0
01003010200,2327,0,0,0,0,0,0,0,2312,15,0
01003010300,5415,0,0,0,0,0,0,0,2221,3192,2
01003010400,4735,0,0,0,0,0,0,0,1413,3292,30
01003010500,2655,0,0,0,0,0,0,0,2085,570,0
01003010600,1603,0,0,0,0,0,0,0,1095,501,7
01003010704,2887,0,0,0,0,0,0,0,0,2852,35
01003010706,2087,0,0,0,0,0,0,0,0,2072,15
01003010707,2300,0,0,0,0,0,0,0,1,2156,143
01003010708,4973,0,0,0,0,0,0,0,21,4818,134
01003010709,5773,0,0,0,0,0,0,0,0,2130,3643
01003010710,2740,0,0,0,0,0,0,0,0,2198,542
01003010711,1882,0,0,0,0,0,0,0,0,1771,111
01003010800,3941,0,0,0,0,0,0,0,0,3378,563
