fips,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
01001,5250,0,0,1,4438,811,0,0,0,0,0
01002,7051,0,376,2386,4286,3,0,0,0,0,0
01003,16,0,0,8,8,0,0,0,0,0,0
01005,2837,0,776,2042,19,0,0,0,0,0,0
01007,6541,0,221,4785,1535,0,0,0,0,0,0
01008,1299,77,1177,45,0,0,0,0,0,0,0
01009,382,0,0,171,211,0,0,0,0,0,0
01010,2330,0,174,2091,65,0,0,0,0,0,0
01011,1112,262,427,420,3,0,0,0,0,0,0
01012,445,14,413,18,0,0,0,0,0,0,0
01013,6716,0,0,0,4653,2062,1,0,0,0,0
01020,9999,0,0,5,9308,686,0,0,0,0,0
01022,86,0,0,3,69,13,1,0,0,0,0
01026,1079,447,587,45,0,0,0,0,0,0,0
01027,7174,16,493,896,5706,63,0,0,0,0,0
01028,6538,0,0,83,6347,106,2,0,0,0,0
01029,1778,120,1658,0,0,0,0,0,0,0,0
01030,4570,0,0,11,4429,130,0,0,0,0,0
01031,626,0,2,523,101,0,0,0,0,0,0
01032,457,210,247,0,0,0,0,0,0,0,0
01033,3181,0,2,832,2347,0,0,0,0,0,0
01034,2024,1,1471,527,25,0,0,0,0,0,0
01035,3065,0,0,159,2896,8,2,0,0,0,0
01036,2320,0,0,776,1543,1,0,0,0,0,0
01037,583,0,216,367,0,0,0,0,0,0,0
01038,1520,0,0,32,1485,3,0,0,0,0,0
01039,840,0,90,750,0,0,0,0,0,0,0
01040,9978,0,2,476,7992,1508,0,0,0,0,0
01050,1859,11,934,735,179,0,0,0,0,0,0
01053,646,0,3,553,90,0,0,0,0,0,0
01054,1227,0,193,1016,18,0,0,0,0,0,0
01056,8531,0,0,994,7455,82,0,0,0,0,0
01057,4000,0,189,3062,749,0,0,0,0,0,0
01060,5015,0,0,168,4739,107,1,0,0,0,0
01062,4903,0,4,1871,3027,1,0,0,0,0,0
01063,60,0,0,0,60,0,0,0,0,0,0
01066,156,0,1,39,116,0,0,0,0,0,0
01068,1065,0,181,884,0,0,0,0,0,0,0
01069,4043,0,22,2389,1631,1,0,0,0,0,0
01070,684,606,78,0,0,0,0,0,0,0,0
01071,761,0,72,573,116,0,0,0,0,0,0
01072,1129,0,1011,118,0,0,0,0,0,0,0
01073,3012,0,17,575,2418,2,0,0,0,0,0
01074,235,0,0,162,73,0,0,0,0,0,0
01075,6529,0,3,210,6249,67,0,0,0,0,0
01077,4189,0,1,406,3747,35,0,0,0,0,0
01079,294,0,0,163,131,0,0,0,0,0,0
01080,871,0,0,52,819,0,0,0,0,0,0
01081,1109,0,461,648,0,0,0,0,0,0,0
01082,4979,0,13,2929,2037,0,0,0,0,0,0
01083,1336,0,73,1261,2,0,0,0,0,0,0
01084,191,3,145,43,0,0,0,0,0,0,0
01085,13692,0,343,586,11267,1496,0,0,0,0,0
01088,416,0,7,230,179,0,0,0,0,0,0
01089,9034,0,0,50,7261,1718,5,0,0,0,0
01092,688,0,4,590,94,0,0,0,0,0,0
01093,197,0,13,136,48,0,0,0,0,0,0
01094,40,0,0,35,5,0,0,0,0,0,0
01095,5699,0,1,1262,4428,8,0,0,0,0,0
01096,1778,92,1226,460,0,0,0,0,0,0,0
01097,75,0,0,15,60,0,0,0,0,0,0
01098,886,320,560,6,0,0,0,0,0,0,0
01103,334,0,0,0,10,324,0,0,0,0,0
01104,7053,0,0,0,5978,1074,1,0,0,0,0
01105,1878,0,0,0,601,1277,0,0,0,0,0
01106,5875,0,0,0,5832,43,0,0,0,0,0
01107,2051,0,0,0,1150,901,0,0,0,0,0
01108,6227,0,0,0,5130,1097,0,0,0,0,0
01109,8255,0,0,0,6614,1641,0,0,0,0,0
01118,5467,0,0,0,4949,518,0,0,0,0,0
01119,4577,0,0,0,4401,176,0,0,0,0,0
01128,1191,0,0,0,1183,8,0,0,0,0,0
01129,2786,0,0,3,2681,102,0,0,0,0,0
01144,5,0,0,0,0,5,0,0,0,0,0
01151,2593,0,0,1,2508,84,0,0,0,0,0
01201,19042,123,13972,4947,0,0,0,0,0,0,0
01220,3700,78,1680,1937,0,0,0,0,0,0,0
01222,540,0,0,521,19,0,0,0,0,0,0
01223,4765,2836,1913,16,0,0,0,0,0,0,0
01224,131,0,131,0,0,0,0,0,0,0,0
01225,1769,271,1243,243,0,0,0,0,0,0,0
01226,2689,88,2304,295,0,0,0,0,0,0,0
01229,172,0,126,46,0,0,0,0,0,0,0
01230,6448,75,2343,4027,0,0,0,0,0,0,0
01235,2333,1801,532,0,0,0,0,0,0,0,0
01236,950,4,306,640,0,0,0,0,0,0,0
01237,1652,435,1210,3,1,0,0,0,0,0,0
01238,3038,175,1307,1556,0,0,0,0,0,0,0
01240,2163,58,2060,45,0,0,0,0,0,0,0
01242,213,0,95,118,0,0,0,0,0,0,0
01243,300,208,75,17,0,0,0,0,0,0,0
01244,314,0,71,243,0,0,0,0,0,0,0
01245,1144,117,1020,7,0,0,0,0,0,0,0
01247,6607,588,2812,3162,0,0,0,0,0,0,0
01253,1194,338,837,19,0,0,0,0,0,0,0
01254,798,77,718,3,0,0,0,0,0,0,0
01255,1245,138,914,193,0,0,0,0,0,0,0
01256,589,588,1,0,0,0,0,0,0,0,0
01257,1970,4,89,1875,0,0,0,0,0,0,0
01258,292,212,75,0,0,0,0,0,0,0,0
01259,743,0,323,417,3,0,0,0,0,0,0
01260,148,1,25,122,0,0,0,0,0,0,0
01262,1644,12,1165,467,0,0,0,0,0,0,0
01264,343,67,126,150,0,0,0,0,0,0,0
01266,1095,35,863,197,0,0,0,0,0,0,0
01267,3150,156,1171,1818,0,0,0,0,0,0,0
01270,712,688,24,0,0,0,0,0,0,0,0
01301,6876,0,183,4931,1762,0,0,0,0,0,0
01330,1168,514,638,16,0,0,0,0,0,0,0
01331,7002,0,1890,4724,388,0,0,0,0,0,0
01337,1851,8,656,1168,15,0,0,0,0,0,0
01338,95,0,27,68,0,0,0,0,0,0,0
01339,1390,501,509,380,0,0,0,0,0,0,0
01340,1899,525,684,689,1,0,0,0,0,0,0
01341,1244,12,507,725,0,0,0,0,0,0,0
01342,1193,0,28,846,319,0,0,0,0,0,0
01343,225,177,29,19,0,0,0,0,0,0,0
01344,946,0,107,786,53,0,0,0,0,0,0
01346,605,587,18,0,0,0,0,0,0,0,0
01347,257,0,0,257,0,0,0,0,0,0,0
01349,601,1,81,460,59,0,0,0,0,0,0
01350,193,144,47,0,0,0,0,0,0,0,0
01351,1446,1,127,1143,175,0,0,0,0,0,0
01354,868,0,18,790,60,0,0,0,0,0,0
01355,802,0,467,335,0,0,0,0,0,0,0
01360,2281,4,349,1858,70,0,0,0,0,0,0
01364,3710,0,204,3295,211,0,0,0,0,0,0
