fips,district,count_property,count_windfactor1,count_windfactor2,count_windfactor3,count_windfactor4,count_windfactor5,count_windfactor6,count_windfactor7,count_windfactor8,count_windfactor9,count_windfactor10
0101,Alabama Congressional District 1,420639,0,0,0,0,0,0,0,59205,331619,29815
0102,Alabama Congressional District 2,453085,0,0,0,0,0,74615,1330,341524,35616,0
0103,Alabama Congressional District 3,487554,0,0,0,43333,30351,391180,5505,17185,0,0
0104,Alabama Congressional District 4,517927,0,0,0,184215,126643,206892,46,131,0,0
0105,Alabama Congressional District 5,354125,0,0,0,306154,35674,12297,0,0,0,0
0106,Alabama Congressional District 6,342018,0,0,0,9737,18815,311558,384,1524,0,0
0107,Alabama Congressional District 7,466297,0,0,0,0,0,295668,6745,163850,34,0
0401,Arizona Congressional District 1,334875,334875,0,0,0,0,0,0,0,0,0
0402,Arizona Congressional District 2,528098,528098,0,0,0,0,0,0,0,0,0
0403,Arizona Congressional District 3,217706,217706,0,0,0,0,0,0,0,0,0
0404,Arizona Congressional District 4,244885,244885,0,0,0,0,0,0,0,0,0
0405,Arizona Congressional District 5,321912,321912,0,0,0,0,0,0,0,0,0
0406,Arizona Congressional District 6,440228,440228,0,0,0,0,0,0,0,0,0
0407,Arizona Congressional District 7,338852,338852,0,0,0,0,0,0,0,0,0
0408,Arizona Congressional District 8,304770,304770,0,0,0,0,0,0,0,0,0
0409,Arizona Congressional District 9,580684,580684,0,0,0,0,0,0,0,0,0
0501,Arkansas Congressional District 1,590068,0,179497,107219,252839,8653,41486,143,231,0,0
0502,Arkansas Congressional District 2,426119,0,18401,180450,227264,0,4,0,0,0,0
0503,Arkansas Congressional District 3,393726,0,391242,2478,6,0,0,0,0,0,0
0504,Arkansas Congressional District 4,599315,0,127802,61242,237541,18863,153647,152,68,0,0
0601,California Congressional District 1,439579,439579,0,0,0,0,0,0,0,0,0
0602,California Congressional District 2,362918,362918,0,0,0,0,0,0,0,0,0
0603,California Congressional District 3,426573,426573,0,0,0,0,0,0,0,0,0
0604,California Congressional District 4,296834,296834,0,0,0,0,0,0,0,0,0
0605,California Congressional District 5,355627,355627,0,0,0,0,0,0,0,0,0
0606,California Congressional District 6,212308,212308,0,0,0,0,0,0,0,0,0
0607,California Congressional District 7,229513,229513,0,0,0,0,0,0,0,0,0
0608,California Congressional District 8,226040,226040,0,0,0,0,0,0,0,0,0
0609,California Congressional District 9,229509,229509,0,0,0,0,0,0,0,0,0
0610,California Congressional District 10,251951,251951,0,0,0,0,0,0,0,0,0
0611,California Congressional District 11,128101,128101,0,0,0,0,0,0,0,0,0
0612,California Congressional District 12,171306,171306,0,0,0,0,0,0,0,0,0
0613,California Congressional District 13,240583,240583,0,0,0,0,0,0,0,0,0
0614,California Congressional District 14,191817,191817,0,0,0,0,0,0,0,0,0
0615,California Congressional District 15,194633,194633,0,0,0,0,0,0,0,0,0
0616,California Congressional District 16,214156,214156,0,0,0,0,0,0,0,0,0
0617,California Congressional District 17,177538,177538,0,0,0,0,0,0,0,0,0
0618,California Congressional District 18,175352,175352,0,0,0,0,0,0,0,0,0
0619,California Congressional District 19,271793,271793,0,0,0,0,0,0,0,0,0
0620,California Congressional District 20,339224,339224,0,0,0,0,0,0,0,0,0
0621,California Congressional District 21,203290,203290,0,0,0,0,0,0,0,0,0
0622,California Congressional District 22,230459,230459,0,0,0,0,0,0,0,0,0
0623,California Congressional District 23,534277,534277,0,0,0,0,0,0,0,0,0
0624,California Congressional District 24,255617,255617,0,0,0,0,0,0,0,0,0
0625,California Congressional District 25,333025,333025,0,0,0,0,0,0,0,0,0
0626,California Congressional District 26,230734,230734,0,0,0,0,0,0,0,0,0
0627,California Congressional District 27,250434,250434,0,0,0,0,0,0,0,0,0
0628,California Congressional District 28,196927,196927,0,0,0,0,0,0,0,0,0
0629,California Congressional District 29,115336,115336,0,0,0,0,0,0,0,0,0
0630,California Congressional District 30,147702,147702,0,0,0,0,0,0,0,0,0
0631,California Congressional District 31,165969,165969,0,0,0,0,0,0,0,0,0
0632,California Congressional District 32,186849,186849,0,0,0,0,0,0,0,0,0
0633,California Congressional District 33,192450,192450,0,0,0,0,0,0,0,0,0
0634,California Congressional District 34,97975,97975,0,0,0,0,0,0,0,0,0
0635,California Congressional District 35,183895,183895,0,0,0,0,0,0,0,0,0
