fips,namelsad,count_property,count_windfactor1,count_windfactor2,count_windfactor3,count_windfactor4,count_windfactor5,count_windfactor6,count_windfactor7,count_windfactor8,count_windfactor9,count_windfactor10
01001,Autauga County,30734,0,0,0,0,0,16146,532,14056,0,0
01003,Baldwin County,140326,0,0,0,0,0,0,0,3130,112520,24676
01005,Barbour County,23338,0,0,0,0,0,126,39,23156,17,0
01007,Bibb County,14885,0,0,0,0,0,14716,38,131,0,0
01009,Blount County,43109,0,0,0,9002,15364,18743,0,0,0,0
01011,Bullock County,9482,0,0,0,0,0,301,122,9059,0,0
01013,Butler County,19348,0,0,0,0,0,0,0,19344,4,0
01015,Calhoun County,73051,0,0,0,10342,12597,50112,0,0,0,0
01017,Chambers County,24203,0,0,0,0,0,24037,24,142,0,0
01019,Cherokee County,33561,0,0,0,24555,4838,4168,0,0,0,0
01021,Chilton County,29553,0,0,0,0,0,27764,402,1387,0,0
01023,Choctaw County,20342,0,0,0,0,0,0,96,20246,0,0
01025,Clarke County,28293,0,0,0,0,0,0,0,28259,34,0
01027,Clay County,14534,0,0,0,17,43,14474,0,0,0,0
01029,Cleburne County,14638,0,0,0,3649,2196,8793,0,0,0,0
01031,Coffee County,34238,0,0,0,0,0,0,0,30605,3633,0
01033,Colbert County,41793,0,0,0,23756,13905,4132,0,0,0,0
01035,Conecuh County,16000,0,0,0,0,0,0,0,15661,339,0
01037,Coosa County,14278,0,0,0,0,0,14027,1,250,0,0
01039,Covington County,31094,0,0,0,0,0,0,0,26137,4957,0
01041,Crenshaw County,15012,0,0,0,0,0,0,0,14990,22,0
01043,Cullman County,56189,0,0,0,11631,16307,28251,0,0,0,0
01045,Dale County,29458,0,0,0,0,0,0,0,27535,1923,0
01047,Dallas County,31323,0,0,0,0,0,4373,206,26744,0,0
01049,DeKalb County,48987,0,0,0,42421,4899,1667,0,0,0,0
01051,Elmore County,49067,0,0,0,0,0,41393,166,7508,0,0
01053,Escambia County,29782,0,0,0,0,0,0,0,11372,18410,0
01055,Etowah County,74258,0,0,0,33826,34087,6345,0,0,0,0
01057,Fayette County,19041,0,0,0,0,34,19007,0,0,0,0
01059,Franklin County,22545,0,0,0,5940,10101,6504,0,0,0,0
01061,Geneva County,22768,0,0,0,0,0,0,0,9867,12901,0
01063,Greene County,10635,0,0,0,0,0,9610,130,895,0,0
01065,Hale County,15457,0,0,0,0,0,11930,199,3328,0,0
01067,Henry County,19237,0,0,0,0,0,0,0,17663,1574,0
01069,Houston County,58618,0,0,0,0,0,0,0,48785,9833,0
01071,Jackson County,43473,0,0,0,41897,1006,570,0,0,0,0
01073,Jefferson County,318828,0,0,0,735,3427,314666,0,0,0,0
01075,Lamar County,16319,0,0,0,0,41,16278,0,0,0,0
01077,Lauderdale County,53117,0,0,0,32919,16001,4197,0,0,0,0
01079,Lawrence County,25349,0,0,0,8261,11414,5674,0,0,0,0
01081,Lee County,64225,0,0,0,0,0,60806,819,2600,0,0
01083,Limestone County,53122,0,0,0,44617,5151,3354,0,0,0,0
01085,Lowndes County,12182,0,0,0,0,0,171,70,11941,0,0
01087,Macon County,19625,0,0,0,0,0,14745,1930,2950,0,0
01089,Madison County,166373,0,0,0,157063,6977,2333,0,0,0,0
01091,Marengo County,21586,0,0,0,0,0,421,974,20191,0,0
01093,Marion County,25383,0,0,0,655,5586,19142,0,0,0,0
01095,Marshall County,59680,0,0,0,40216,14412,5052,0,0,0,0
01097,Mobile County,207431,0,0,0,0,0,0,0,3747,198545,5139
01099,Monroe County,22607,0,0,0,0,0,0,0,20760,1847,0
01101,Montgomery County,103409,0,0,0,0,0,17930,5126,80353,0,0
01103,Morgan County,62154,0,0,0,44294,14383,3477,0,0,0,0
01105,Perry County,10185,0,0,0,0,0,6972,72,3141,0,0
01107,Pickens County,20619,0,0,0,0,0,20294,3,322,0,0
01109,Pike County,21552,0,0,0,0,0,0,0,21533,19,0
01111,Randolph County,24949,0,0,0,3,35,24911,0,0,0,0
