fips,name,count_property,count_windfactor1,count_windfactor2,count_windfactor3,count_windfactor4,count_windfactor5,count_windfactor6,count_windfactor7,count_windfactor8,count_windfactor9,count_windfactor10
01,Alabama,3041645,0,0,0,543439,211483,1292210,14010,583419,367269,29815
04,Arizona,3312010,3312010,0,0,0,0,0,0,0,0,0
05,Arkansas,2009228,0,716942,351389,717650,27516,195137,295,299,0,0
06,California,11422746,11422746,0,0,0,0,0,0,0,0,0
08,Colorado,2517292,873035,1644257,0,0,0,0,0,0,0,0
09,Connecticut,1162656,0,0,0,55110,71014,945944,8742,81846,0,0
10,Delaware,428859,0,0,0,0,0,259570,27655,141634,0,0
11,District of Columbia,136963,0,0,0,134791,2076,96,0,0,0,0
12,Florida,9198415,0,0,0,0,0,0,0,23150,4108785,5066480
13,Georgia,4455881,0,206604,91859,1354944,480837,1248986,43986,816994,210360,1311
16,Idaho,1047769,1047769,0,0,0,0,0,0,0,0,0
17,Illinois,5244277,0,5170828,70481,2968,0,0,0,0,0,0
18,Indiana,3550496,0,3503389,47051,56,0,0,0,0,0,0
19,Iowa,2440064,0,2440064,0,0,0,0,0,0,0,0
20,Kansas,1622856,0,1610549,12305,2,0,0,0,0,0,0
21,Kentucky,2138757,0,1425072,530547,149114,0,0,0,0,0,0
22,Louisiana,2359176,0,0,0,0,0,395317,49392,356769,1131908,425790
23,Maine,702415,0,5074,75281,224597,16617,342031,8124,30691,0,0
24,Maryland,2197448,0,113217,86060,801440,237269,818095,33786,107581,0,0
25,Massachusetts,2178427,0,0,6681,188826,138276,1349661,23261,470715,1007,0
26,Michigan,4704291,1816405,2887886,0,0,0,0,0,0,0,0
27,Minnesota,2992027,878345,2113682,0,0,0,0,0,0,0,0
28,Mississippi,1931440,0,0,0,194427,70051,573858,49292,733576,287191,23045
29,Missouri,3223900,0,3089894,71272,62734,0,0,0,0,0,0
30,Montana,899557,832391,67166,0,0,0,0,0,0,0,0
31,Nebraska,1150099,5139,1144960,0,0,0,0,0,0,0,0
32,Nevada,1212856,1212856,0,0,0,0,0,0,0,0,0
33,New Hampshire,591974,0,49856,105920,252189,55470,125126,63,3350,0,0
34,New Jersey,3437516,0,0,1940,244641,123308,2422214,47742,597671,0,0
35,New Mexico,1496419,1284001,212418,0,0,0,0,0,0,0,0
36,New York,5392713,1841726,651519,421098,406309,39796,1648065,40062,344138,0,0
37,North Carolina,5521472,0,1068002,208056,836930,369917,1603848,169437,930531,334751,0
38,North Dakota,688263,341671,346592,0,0,0,0,0,0,0,0
39,Ohio,6090889,2252138,3838699,52,0,0,0,0,0,0,0
40,Oklahoma,2259475,0,1073995,879983,286500,3518,5311,0,0,0,0
41,Oregon,1810008,1810008,0,0,0,0,0,0,0,0,0
42,Pennsylvania,5733234,501193,2192458,543708,1049803,125307,1320765,0,0,0,0
44,Rhode Island,383811,0,0,0,0,0,238781,12581,132449,0,0
45,South Carolina,2662675,0,563677,73433,74085,34275,742970,62144,794215,317876,0
46,South Dakota,689940,0,689940,0,0,0,0,0,0,0,0
47,Tennessee,3324406,0,972452,399184,1940314,9347,3109,0,0,0,0
48,Texas,12392049,480926,710376,101777,1204239,305674,3957519,79534,2883913,2541756,126335
49,Utah,1396242,1396242,0,0,0,0,0,0,0,0,0
50,Vermont,312513,6435,218440,69379,18257,2,0,0,0,0,0
51,Virginia,3854109,0,1242524,256281,885463,243628,543025,29194,653194,800,0
53,Washington,3081709,3081709,0,0,0,0,0,0,0,0,0
54,West Virginia,1363474,548581,806249,8644,0,0,0,0,0,0,0
55,Wisconsin,3375634,1115134,2260500,0,0,0,0,0,0,0,0
56,Wyoming,339264,282721,56543,0,0,0,0,0,0,0,0
