fips,count_property,count_windfactor1,count_windfactor2,count_windfactor3,count_windfactor4,count_windfactor5,count_windfactor6,count_windfactor7,count_windfactor8,count_windfactor9,count_windfactor10
01001020100,937,0,0,0,0,0,607,0,330,0,0
01001020200,1130,0,0,0,0,0,264,0,866,0,0
01001020300,1511,0,0,0,0,0,482,0,1029,0,0
01001020400,1887,0,0,0,0,0,324,0,1563,0,0
01001020501,1746,0,0,0,0,0,264,0,1482,0,0
01001020502,897,0,0,0,0,0,376,0,521,0,0
01001020503,972,0,0,0,0,0,504,0,468,0,0
01001020600,1544,0,0,0,0,0,213,0,1331,0,0
01001020700,1601,0,0,0,0,0,156,0,1445,0,0
01001020801,1640,0,0,0,0,0,741,67,832,0,0
01001020803,2564,0,0,0,0,0,1787,144,633,0,0
01001020804,2526,0,0,0,0,0,1964,0,562,0,0
01001020805,1425,0,0,0,0,0,1146,0,279,0,0
01001020901,1928,0,0,0,0,0,1692,17,219,0,0
01001020902,2241,0,0,0,0,0,1570,101,570,0,0
01001021000,2818,0,0,0,0,0,2358,52,408,0,0
01001021100,3367,0,0,0,0,0,1698,151,1518,0,0
01003010100,4856,0,0,0,0,0,0,0,2652,2204,0
01003010200,2327,0,0,0,0,0,0,0,418,1909,0
01003010300,5415,0,0,0,0,0,0,0,38,5377,0
01003010400,4735,0,0,0,0,0,0,0,9,4726,0
01003010500,2655,0,0,0,0,0,0,0,13,2642,0
01003010600,1603,0,0,0,0,0,0,0,0,1603,0
01003010704,2887,0,0,0,0,0,0,0,0,2887,0
01003010706,2087,0,0,0,0,0,0,0,0,2087,0
01003010707,2300,0,0,0,0,0,0,0,0,2276,24
01003010708,4973,0,0,0,0,0,0,0,0,4973,0
01003010709,5773,0,0,0,0,0,0,0,0,5699,74
01003010710,2740,0,0,0,0,0,0,0,0,2737,3
01003010711,1882,0,0,0,0,0,0,0,0,1882,0
01003010800,3941,0,0,0,0,0,0,0,0,3941,0
01003010903,3030,0,0,0,0,0,0,0,0,3028,2
01003010904,4730,0,0,0,0,0,0,0,0,4730,0
01003010906,2130,0,0,0,0,0,0,0,0,2130,0
01003010907,1960,0,0,0,0,0,0,0,0,1934,26
01003010908,2858,0,0,0,0,0,0,0,0,2858,0
01003011000,3741,0,0,0,0,0,0,0,0,3608,133
01003011102,2864,0,0,0,0,0,0,0,0,2193,671
01003011103,1824,0,0,0,0,0,0,0,0,1822,2
