fips,count_property,count_windfactor1,count_windfactor2,count_windfactor3,count_windfactor4,count_windfactor5,count_windfactor6,count_windfactor7,count_windfactor8,count_windfactor9,count_windfactor10
01001,5250,0,0,0,0,3600,1650,0,0,0,0
01002,7051,0,0,0,6741,302,8,0,0,0,0
01003,16,0,0,0,16,0,0,0,0,0,0
01005,2837,0,0,0,406,2247,184,0,0,0,0
01007,6541,0,0,0,3130,3224,187,0,0,0,0
01008,1299,0,0,0,1297,2,0,0,0,0,0
01009,382,0,0,0,0,326,56,0,0,0,0
01010,2330,0,0,0,0,80,2250,0,0,0,0
01011,1112,0,0,0,1112,0,0,0,0,0,0
01012,445,0,0,0,445,0,0,0,0,0,0
01013,6716,0,0,0,514,6202,0,0,0,0,0
01020,9999,0,0,0,1275,8720,4,0,0,0,0
01022,86,0,0,0,0,85,1,0,0,0,0
01026,1079,0,0,0,1079,0,0,0,0,0,0
01027,7174,0,0,0,7138,34,2,0,0,0,0
01028,6538,0,0,0,0,732,5806,0,0,0,0
01029,1778,0,0,0,1315,89,374,0,0,0,0
01030,4570,0,0,0,143,3299,1128,0,0,0,0
01031,626,0,0,0,2,280,344,0,0,0,0
01032,457,0,0,0,451,1,5,0,0,0,0
01033,3181,0,0,0,1890,1242,49,0,0,0,0
01034,2024,0,0,0,1274,636,114,0,0,0,0
01035,3065,0,0,0,2193,803,69,0,0,0,0
01036,2320,0,0,0,0,434,1886,0,0,0,0
01037,583,0,0,0,57,474,52,0,0,0,0
01038,1520,0,0,0,1158,343,19,0,0,0,0
01039,840,0,0,0,840,0,0,0,0,0,0
01040,9978,0,0,0,3343,6535,100,0,0,0,0
01050,1859,0,0,0,1788,33,38,0,0,0,0
01053,646,0,0,0,646,0,0,0,0,0,0
01054,1227,0,0,0,1223,3,1,0,0,0,0
01056,8531,0,0,0,303,6814,1414,0,0,0,0
01057,4000,0,0,0,0,380,3620,0,0,0,0
01060,5015,0,0,0,4733,210,72,0,0,0,0
01062,4903,0,0,0,4901,2,0,0,0,0,0
01063,60,0,0,0,60,0,0,0,0,0,0
01066,156,0,0,0,152,4,0,0,0,0,0
01068,1065,0,0,0,2,669,394,0,0,0,0
01069,4043,0,0,0,1,1019,3023,0,0,0,0
01070,684,0,0,0,684,0,0,0,0,0,0
