datacenter_name_name,datacenter_name_address,datacenter_name_address_url,latitude,longitude
@Charlotte Data Center Campus,"131 Riverside Ct, Kings Mountain, NC, USA",https://www.datacenters.com/t5-charlotte-campus,35.2397,-81.3437
Raleigh Data Center,"5150 McCrimmon Parkway #423, Morrisville, NC 27560, USA",https://www.datacenters.com/flexential-raleigh,35.8615,-78.8263
DUR1 Raleigh-Durham Data Center,"2223 Northeast Creek Parkway, Durham, NC, USA",https://www.datacenters.com/cyrusone-dur1-raleigh-durham,35.9325,-78.8453
Raleigh Data Center,"5301 Departure Drive, Raleigh, NC, USA",https://www.datacenters.com/tierpoint-raleigh,35.8618,-78.6003
Charlotte Data Center,"5821 Fairview Rd, Charlotte, NC, USA",https://www.datacenters.com/charlotte-colocation-center-charlotte,35.1526,-80.8337
Raleigh - RTP Data Center,"99 TW Alexander Drive, Durham, NC 27709, USA",https://www.datacenters.com/tierpoint-raleigh-rtp,35.9188,-78.8973
Charlotte - North Data Center,"10105 David Taylor Drive, Charlotte, NC, USA",https://www.datacenters.com/flexential-charlotte-north,35.3347,-80.7805
Raleigh 1 Data Center,"5301 Departure Drive, Raleigh, NC, USA",https://www.datacenters.com/lumen-raleigh-1,35.8618,-78.6003
Charlotte CLT10 Data Center,"113 North Myers Street, Charlotte, NC, USA",https://www.datacenters.com/digital-realty-charlotte-clt10,35.2175,-80.8312
Asheville Data Center,"100 Technology Dr ste c, Asheville, NC, USA",https://www.datacenters.com/dartpoints-asheville,35.6168,-82.5642
Charlotte - South Data Center,"8910 Lenox Pointe Drive, Charlotte, NC, USA",https://www.datacenters.com/flexential-charlotte-south,35.1345,-80.8485
Charlotte - Center Park Data Center,"1805 Center Park Drive, Charlotte, NC, USA",https://www.datacenters.com/tierpoint-charlotte-center-park,35.1371,-80.9151
Charlotte Data Center,"10105 David Taylor Drive, Charlotte, NC, USA",https://www.datacenters.com/h5-charlotte,35.3347,-80.7805
Raleigh-Durham Data Center,"4518 South Miami Boulevard, Durham, NC, USA",https://www.datacenters.com/acehost-raleigh-durham,35.9064,-78.8494
Raleigh Data Center,"8020 Arco Corporate Dr, Raleigh, NC 27617, USA",https://www.datacenters.com/lightedge-raleigh,35.8993,-78.7523
CLT1 - Flexential Charlotte South Data Center PoP,"8910 Lenox Pointe Drive, Charlotte, NC, USA",https://www.datacenters.com/mod-mission-critical-clt1-flexential-charlotte-south-pop,35.1345,-80.8485
MOR1 - Flexential Morrisville Data Center PoP,"5150 McCrimmon Parkway, Morrisville, NC, USA",https://www.datacenters.com/mod-mission-critical-mor1-flexential-morrisville-pop,35.8615,-78.8263
Charlotte - North Myers Data Center,"125 North Myers Street, Charlotte, NC, USA",https://www.datacenters.com/tierpoint-charlotte-north-myers,35.2197,-80.8326
Charlotte,"3101 International Airport Drive, Charlotte, NC, USA",https://www.datacenters.com/breezehost-io-charlotte,35.2167,-80.9303
CLT2 - Flexential Charlotte North Data Center PoP,"10105 David Taylor Drive, Charlotte, NC 28262, USA",https://www.datacenters.com/mod-mission-critical-clt2-flexential-charlotte-north-pop,35.3347,-80.7805
Charlotte Data Center US-East 01,"1805 Center Park Drive, Charlotte, NC, USA",https://www.datacenters.com/scalematrix-charlotte-us-east-01,35.1371,-80.9151
RAL1 - Tierpoint Raleigh Data Center PoP,"5301 Departure Drive, Raleigh, NC, USA",https://www.datacenters.com/mod-mission-critical-ral1-tierpoint-raleigh-pop,35.8618,-78.6003
Maiden Data Center,"5977 Startown Road, Newton, NC, USA",https://www.datacenters.com/apple-inc-maiden,35.6214,-81.2444
"Lenoir, NC Data Center",708 Lynhaven Drive,https://www.datacenters.com/google-lenoir-nc,35.2204,-80.8011
Forest City Data Center,"480 Social Circle, Forest City, NC, USA",https://www.datacenters.com/facebook-forest-city,35.3185,-81.8671
CLT-1 Data Center,"1035 Mecklenburg Hwy, Mooresville, NC, USA",https://www.datacenters.com/giga-clt-1,35.5887,-80.8268
Charlotte One Data Center,"3100 International Airport Drive, Charlotte, NC, USA",https://www.datacenters.com/segra-charlotte-one-2,35.214,-80.9446
Charlotte Two Data Center,"3101 International Airport Drive, Charlotte, NC, USA",https://www.datacenters.com/segra-charlotte-two,35.2167,-80.9303
Raleigh Data Center,"2100 Garner Station Boulevard, Raleigh, NC, USA",https://www.datacenters.com/segra-raleigh,35.7194,-78.6533
Winston-Salem Data Center,"3310 Old Lexington Road, Winston-Salem, NC, USA",https://www.datacenters.com/segra-winston-salem,36.0791,-80.1867
Kannapolis Data Center,"465 Charles Babbage Lane, Kannapolis, NC, USA",https://www.datacenters.com/segra-kannapolis,35.4955,-80.6228
"Lenoir, North Carolina","801 N Main St, Lenoir, NC 28645, USA",https://www.datacenters.com/centrilogic-lenoir-north-carolina,35.9111,-81.5394
