time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-27T08:35:34.824Z,27.8256,139.5702,503.156,6.5,mww,78,37,2.434,0.65,us,us6000mu8k,2024-04-28T08:44:12.853Z,"Bonin Islands, Japan region",earthquake,3.43,5.674,0.059,28,reviewed,us,us
2024-04-14T20:56:28.097Z,-5.8037,151.0832,49,6.5,mww,106,42,5.284,0.96,us,us7000mc2t,2024-04-27T19:40:58.336Z,"108 km ESE of Kimbe, Papua New Guinea",earthquake,8.1,1.935,0.073,18,reviewed,us,us
2024-04-05T11:03:16.375Z,19.0958,145.36,222,6.8,mww,200,31,3.855,0.87,us,us7000ma2w,2024-04-30T11:13:19.906Z,"Maug Islands region, Northern Mariana Islands",earthquake,8,1.914,0.027,136,reviewed,us,us
2024-04-02T23:58:12.147Z,23.8322,121.6044,40,7.4,mww,322,17,0.34,0.93,us,us7000m9g4,2024-05-01T02:40:55.772Z,"16 km S of Hualien City, Taiwan",earthquake,4.73,1.877,0.027,133,reviewed,us,us
2024-03-27T01:28:21.000Z,-20.9,173.8,10,6.7,Mi,21,93.5999925120006,5.906423,1.56,at,at00sazg39,2024-03-27T01:40:31.536Z,"Vanuatu region",earthquake,0,0,,7,reviewed,at,at
2024-03-23T20:22:03.794Z,-4.1149,143.1705,37,6.9,mww,145,32,2.932,0.76,us,us6000mksx,2024-04-26T02:18:20.016Z,"40 km ENE of Ambunti, Papua New Guinea",earthquake,8.25,1.885,0.047,44,reviewed,us,us
2024-03-03T16:16:53.995Z,-58.8881,159.1441,23.187,6.8,mww,49,58,4.403,0.57,us,us6000mghc,2024-03-24T19:16:17.585Z,"Macquarie Island region",earthquake,10.52,3.009,0.037,72,reviewed,us,us
2024-01-28T09:38:56.538Z,-8.236,-71.4005,621.081,6.5,mww,237,40,6.526,0.86,us,us7000lui3,2024-03-30T22:34:43.040Z,"70 km W of Tarauacá, Brazil",earthquake,7.28,2.996,0.062,25,reviewed,us,us
2024-01-22T18:09:04.340Z,41.2555,78.6538,13,7,mww,121,29,0.428,0.64,us,us7000lsze,2024-04-13T06:10:32.765Z,"128 km WNW of Aykol, China",earthquake,4.68,1.811,0.054,33,reviewed,us,us
2024-01-20T21:31:05.092Z,-7.2879,-71.464,607,6.6,mww,185,36,7.065,0.69,us,us6000m52p,2024-03-29T17:37:55.040Z,"123 km NW of Tarauacá, Brazil",earthquake,9.42,1.919,0.073,18,reviewed,us,us
2024-01-08T20:48:42.361Z,4.9225,126.1575,62.574,6.7,mww,138,22,2.209,0.76,us,us6000m2jp,2024-03-16T19:00:03.040Z,"93 km SE of Sarangani, Philippines",earthquake,7.15,3.404,0.06,27,reviewed,us,us
2024-01-01T07:10:09.476Z,37.4874,137.271,10,7.5,mww,282,36,0.957,0.55,us,us6000m0xl,2024-04-28T16:57:38.751Z,"2024 Noto Peninsula, Japan Earthquake",earthquake,4.03,1.807,0.034,82,reviewed,us,us
2023-12-30T17:16:23.000Z,-3.205,139.289,10,6.5,Mi,18,86.39999308800056,,,pt,pt23364001,2024-02-18T00:06:28.773Z,"163 km WSW of Abepura, Indonesia",earthquake,,,,13,reviewed,pt,pt
